tconst,titleType,title,year,runtimeMinutes,genres,averageRating,actors,directors,combined_features
tt0133709,movie,La deuda,1997,90.0,['Drama'],8.0,"['Nicolás Buenaventura', 'Manuel José Álvarez', 'Jairo Camargo', 'Jairo Camargo', 'Humberto Dorado', 'Helios Fernández', 'Diego León Hoyos']","['Nicolás Buenaventura', 'Manuel José Álvarez']",La deuda Drama Nicolás Buenaventura Manuel José Álvarez Nicolás Buenaventura Manuel José Álvarez Jairo Camargo Jairo Camargo Humberto Dorado Helios Fernández Diego León Hoyos
tt0391931,movie,Diary of a Madman,1996,90.0,['Comedy'],8.0,"['Marius Kurkinsky', 'Ivo Tonchev', 'Evgeniy Djurov']",['Marius Kurkinsky'],Diary of a Madman Comedy Marius Kurkinsky Marius Kurkinsky Ivo Tonchev Evgeniy Djurov
tt0094157,movie,Tlacuilo,1987,47.0,['Documentary'],8.0,[],['Enrique Escalona'],Tlacuilo Documentary Enrique Escalona 
tt1149600,movie,Here to Stay,2009,87.0,['Documentary'],8.0,[],"['Pierre Barougier', 'Olivier Bourgeois']",Here to Stay Documentary Pierre Barougier Olivier Bourgeois 
tt1149400,movie,Note by Note: The Making of Steinway L1037,2007,81.0,"['Documentary', 'Family', 'Musical']",8.0,['Pierre-Laurent Aimard'],['Ben Niles'],Note by Note: The Making of Steinway L1037 Documentary Family Musical Ben Niles Pierre-Laurent Aimard
tt0780183,movie,ZA 05. Lo viejo y lo nuevo,2006,77.0,['Documentary'],8.0,[],['Fernando Birri'],ZA 05. Lo viejo y lo nuevo Documentary Fernando Birri 
tt0091398,movie,The Beauty of Vice,1986,105.0,['Drama'],8.0,"[""Milutin 'Mima' Karadzic"", ""Milutin 'Mima' Karadzic"", 'Petar Bozovic', 'Petar Bozovic', 'Alain Noury', 'Alain Noury', 'Milo Miranovic', 'Milo Miranovic', 'Boro Stjepanovic', 'Boro Stjepanovic']",['Zivko Nikolic'],The Beauty of Vice Drama Zivko Nikolic Milutin 'Mima' Karadzic Milutin 'Mima' Karadzic Petar Bozovic Petar Bozovic Alain Noury Alain Noury Milo Miranovic Milo Miranovic Boro Stjepanovic Boro Stjepanovic
tt0253219,movie,The Long Haired Warriors,1998,60.0,['Documentary'],8.0,[],['Mel Halbach'],The Long Haired Warriors Documentary Mel Halbach 
tt0252722,movie,"Mitridate, rè di Ponto",1986,,"['Drama', 'Musical']",8.0,"['Gösta Winbergh', 'Peter Straka', 'Massimiliano Roncato']",['Jean-Pierre Ponnelle'],"Mitridate, rè di Ponto Drama Musical Jean-Pierre Ponnelle Gösta Winbergh Peter Straka Massimiliano Roncato"
tt11483028,movie,Laat Sahab,2010,143.0,"['Drama', 'Family', 'Romance']",8.0,"['Uttar Kumar', 'Uttar Kumar', 'Raju Maan', 'Dev Sharma', 'Dev Sharma']",['Dinesh Chaudhary'],Laat Sahab Drama Family Romance Dinesh Chaudhary Uttar Kumar Uttar Kumar Raju Maan Dev Sharma Dev Sharma
tt0253873,movie,Utharam,1989,,"['Drama', 'Mystery', 'Thriller']",8.0,"['Mammootty', 'Sukumaran', 'Karamana Janardanan Nair', 'Sankaradi', 'V.K. Sriraman', 'Innocent Vareed Thekkethala', 'M. Chandran Nair']",['V.K. Pavithran'],Utharam Drama Mystery Thriller V.K. Pavithran Mammootty Sukumaran Karamana Janardanan Nair Sankaradi V.K. Sriraman Innocent Vareed Thekkethala M. Chandran Nair
tt1144050,movie,Neo-Lounge,2007,86.0,['Documentary'],8.0,[],['Joanna Vasquez Arong'],Neo-Lounge Documentary Joanna Vasquez Arong 
tt0393884,movie,Tlatelolco: las claves de la masacre,2003,58.0,['Documentary'],8.0,[],['Carlos Mendoza'],Tlatelolco: las claves de la masacre Documentary Carlos Mendoza 
tt0114618,movie,Target,1995,122.0,['Drama'],8.0,"['Om Puri', 'Mohan Agashe', 'Barun Chakraborty', 'Gyanesh Mukherjee', 'Anjan Srivastav']",['Sandip Ray'],Target Drama Sandip Ray Om Puri Mohan Agashe Barun Chakraborty Gyanesh Mukherjee Anjan Srivastav
tt1158254,movie,High School Serenade,1979,,['Romance'],8.0,"['Adisurya Abdy', 'Pong Harjatmo', 'Rano Karno', 'Rizal Nurdin', 'Junaedy Salat', 'Doddy Sukma']",['Arizal'],High School Serenade Romance Arizal Adisurya Abdy Pong Harjatmo Rano Karno Rizal Nurdin Junaedy Salat Doddy Sukma
tt0396070,movie,Japlan,1984,,['Documentary'],8.0,"['Kurt Dahlke', 'Frank Fenstermacher', 'Moritz Reichelt', 'Trini Trimpop', 'Gerd Stein']",['Wolfgang Büld'],Japlan Documentary Wolfgang Büld Kurt Dahlke Frank Fenstermacher Moritz Reichelt Trini Trimpop Gerd Stein
tt0390051,movie,Glitterati,2004,90.0,['Drama'],8.0,"['Will Hodgkinson', 'Paul Oakenfold', 'Kip Pardue']",['Roger Avary'],Glitterati Drama Roger Avary Will Hodgkinson Paul Oakenfold Kip Pardue
tt0250362,movie,"Eros, Love & Lies",1990,55.0,['Documentary'],8.0,[],['Mark Elliott'],"Eros, Love & Lies Documentary Mark Elliott "
tt1157720,movie,Stranded,2007,130.0,['Documentary'],8.0,[],['Gonzalo Arijon'],Stranded Documentary Gonzalo Arijon 
tt0250432,movie,"I'm Sorry, My Love",1998,101.0,"['Drama', 'Romance']",8.0,"['Onemig Bondoc', 'Dingdong Dantes', 'Edgar Ebro', 'Ryan Eigenmann']",['Joyce Bernal'],"I'm Sorry, My Love Drama Romance Joyce Bernal Onemig Bondoc Dingdong Dantes Edgar Ebro Ryan Eigenmann"
tt0091480,movie,Manon of the Spring,1986,113.0,['Drama'],8.0,"['Yves Montand', 'Daniel Auteuil', 'Hippolyte Girardot', 'Ticky Holgado', 'Jean Bouchaud', 'Gabriel Bacquier']",['Claude Berri'],Manon of the Spring Drama Claude Berri Yves Montand Daniel Auteuil Hippolyte Girardot Ticky Holgado Jean Bouchaud Gabriel Bacquier
tt0109889,movie,Gesetz der Straße,1994,85.0,['Documentary'],8.0,"['Dominik Graf', 'Gelnn Rossiter']",['Oliver Herbrich'],Gesetz der Straße Documentary Oliver Herbrich Dominik Graf Gelnn Rossiter
tt0109790,movie,The Red Lotus Society,1994,120.0,['Drama'],8.0,"['Li-Wei Chang', 'Leon Dai', 'Yi-kang Feng', 'Kuan Kuan', 'Li-Chun Lee', 'Bojun Li', 'Tung-Chun Li']",['Stan Lai'],The Red Lotus Society Drama Stan Lai Li-Wei Chang Leon Dai Yi-kang Feng Kuan Kuan Li-Chun Lee Bojun Li Tung-Chun Li
tt0250665,movie,Pratighatana,1985,180.0,['Drama'],8.0,"['Charan Raj', 'Kota Srinivasa Rao', 'Chandramohan', 'Suthi Velu', 'Sai Kumar', 'Narayana P.L.', 'Rajasekhar', 'Narra Venkateswara Rao']",['T. Krishna'],Pratighatana Drama T. Krishna Charan Raj Kota Srinivasa Rao Chandramohan Suthi Velu Sai Kumar Narayana P.L. Rajasekhar Narra Venkateswara Rao
tt0114486,movie,Sobyan wa banat,1996,72.0,['Documentary'],8.0,[],['Yousry Nasrallah'],Sobyan wa banat Documentary Yousry Nasrallah 
tt0254159,movie,The Rejected,1982,70.0,['Documentary'],8.0,['Kostas Kastanas'],['Kostis Zois'],The Rejected Documentary Kostis Zois Kostas Kastanas
tt0390269,movie,Mistah,1994,119.0,"['Action', 'Drama', 'War']",8.0,"['Robin Padilla', 'Roi Vinzon', 'Daniel Fernando', 'Joko Diaz', 'Rommel Padilla', 'Bomber Moran', 'Dindo Arroyo', 'June Hidalgo']",['Bebong Osorio'],Mistah Action Drama War Bebong Osorio Robin Padilla Roi Vinzon Daniel Fernando Joko Diaz Rommel Padilla Bomber Moran Dindo Arroyo June Hidalgo
tt0251278,movie,La muerte de un gallero,1977,115.0,"['Action', 'Adventure']",8.0,"['Antonio Aguilar', 'José Aguilar', 'Alfredo Wally Barrón', 'Eleazar García', 'José Gálvez', 'Víctor Manuel Mato']",['Mario Hernández'],La muerte de un gallero Action Adventure Mario Hernández Antonio Aguilar José Aguilar Alfredo Wally Barrón Eleazar García José Gálvez Víctor Manuel Mato
tt0251306,movie,Norma,1974,160.0,"['Drama', 'Musical']",8.0,"['Jon Vickers', 'Agostino Ferrin', 'Gino Sinimberghi']",['Pierre Jourdan'],Norma Drama Musical Pierre Jourdan Jon Vickers Agostino Ferrin Gino Sinimberghi
tt0245830,movie,Chettaniki Kallu Levu,1981,141.0,"['Action', 'Crime', 'Drama']",8.0,"['Chiranjeevi', 'G.V. Narayana Rao', 'Tiger Prabhakar', 'Hemasundar', 'Ceylon Manohar', 'Narayana P.L.', 'Mohan Babu']",['S.A. Chandrashekhar'],Chettaniki Kallu Levu Action Crime Drama S.A. Chandrashekhar Chiranjeevi G.V. Narayana Rao Tiger Prabhakar Hemasundar Ceylon Manohar Narayana P.L. Mohan Babu
tt1132159,movie,Honk for Peace,2007,,['Documentary'],8.0,[],['Corey Boutilier'],Honk for Peace Documentary Corey Boutilier 
tt11313104,movie,"Kemtiyu, Cheikh Anta",2016,94.0,"['Biography', 'Documentary']",8.0,[],['William Mbaye Ousmane'],"Kemtiyu, Cheikh Anta Biography Documentary William Mbaye Ousmane "
tt0402020,movie,L'adoption,2004,59.0,['Drama'],8.0,['Michel Debrane'],['Alain-Paul Mallard'],L'adoption Drama Alain-Paul Mallard Michel Debrane
tt0262602,movie,ABC Mantrap,1983,65.0,[],8.0,"['Martin Fry', 'Martin Fry', 'David Palmer', 'Stephen Singleton', 'Mark White', 'James Villiers', 'Vincent Flood']",['Julien Temple'],ABC Mantrap  Julien Temple Martin Fry Martin Fry David Palmer Stephen Singleton Mark White James Villiers Vincent Flood
tt0384858,movie,Boy Kristiano,1989,95.0,['Action'],8.0,"['John Regala', 'Bobby Zshornack', 'Dick Israel', 'Renato Robles', 'Ernie Forte', 'Shanghai']",['Cesar S.B. Abella'],Boy Kristiano Action Cesar S.B. Abella John Regala Bobby Zshornack Dick Israel Renato Robles Ernie Forte Shanghai
tt0498682,movie,In der Wüste,1987,70.0,['Drama'],8.0,"['Walter Alich', 'Gerhard Boomgarden', 'Stefan Deutschmann', 'Gino', 'Hermann-Josef Greuel', 'Michiel de Groot', 'Somasiri Jayawardena']",['Rafael Fuster-Pardo'],In der Wüste Drama Rafael Fuster-Pardo Walter Alich Gerhard Boomgarden Stefan Deutschmann Gino Hermann-Josef Greuel Michiel de Groot Somasiri Jayawardena
tt1185616,movie,Waltz with Bashir,2008,90.0,"['Animation', 'Biography', 'Documentary']",8.0,"['Miki Leon', 'Yehezkel Lazarov']",['Ari Folman'],Waltz with Bashir Animation Biography Documentary Ari Folman Miki Leon Yehezkel Lazarov
tt0262549,movie,Kôkotsu no hito,1973,102.0,['Drama'],8.0,"['Hisaya Morishige', 'Takahiro Tamura', 'Kimio Aoki', 'Akio Hayashi', 'Toshio Hosoi', 'Izumi Ichikawa', 'Takashi Ito']",['Shirô Toyoda'],Kôkotsu no hito Drama Shirô Toyoda Hisaya Morishige Takahiro Tamura Kimio Aoki Akio Hayashi Toshio Hosoi Izumi Ichikawa Takashi Ito
tt1122893,movie,¡Ya basta!,2007,61.0,['Documentary'],8.0,[],['Ricardo Ainslie'],¡Ya basta! Documentary Ricardo Ainslie 
tt0262542,movie,Ketugadu,1980,,['Action'],8.0,"['Mohan Babu', 'Prabhakar Reddy']",['Dasari Narayana Rao'],Ketugadu Action Dasari Narayana Rao Mohan Babu Prabhakar Reddy
tt0385659,movie,Distress,2003,85.0,['Drama'],8.0,"['Chris Meyer', 'James McCaffrey', 'William Perly', 'John Joseph Gallagher', 'Ken Marks', 'Rob Fazio', 'Tony Howard', 'Ahmad Alhusari']",['Blue Kraning'],Distress Drama Blue Kraning Chris Meyer James McCaffrey William Perly John Joseph Gallagher Ken Marks Rob Fazio Tony Howard Ahmad Alhusari
tt0401572,movie,Late Watch,2004,80.0,['Comedy'],8.0,"['Dean Auer', 'Ed Baccari', 'Joe Beaudin', 'Frank Bonsangue', 'Guy Camilleri', 'Jason Scott Campbell', 'Ethan Crough', 'Stephen Daniels']",['Henry Miller'],Late Watch Comedy Henry Miller Dean Auer Ed Baccari Joe Beaudin Frank Bonsangue Guy Camilleri Jason Scott Campbell Ethan Crough Stephen Daniels
tt0401792,movie,Sin City,2005,124.0,"['Crime', 'Thriller']",8.0,"['Mickey Rourke', 'Clive Owen', 'Bruce Willis', 'Powers Boothe', 'Jude Ciccolella', 'Jeff Dashnaw']","['Frank Miller', 'Quentin Tarantino', 'Robert Rodriguez']",Sin City Crime Thriller Frank Miller Quentin Tarantino Robert Rodriguez Mickey Rourke Clive Owen Bruce Willis Powers Boothe Jude Ciccolella Jeff Dashnaw
tt0119118,movie,The Fight in the Fields,1997,120.0,"['Biography', 'Documentary']",8.0,[],"['Rick Tejada-Flores', 'Ray Telles']",The Fight in the Fields Biography Documentary Rick Tejada-Flores Ray Telles 
tt0798796,movie,Tatar Ramazan: Sürgünde,1992,80.0,['Drama'],8.0,"['Kadir Inanir', 'Hayati Hamzaoglu', 'Turgut Bagir', 'Yildirim Gencer', 'Kazim Kartal']",['Melih Gülgen'],Tatar Ramazan: Sürgünde Drama Melih Gülgen Kadir Inanir Hayati Hamzaoglu Turgut Bagir Yildirim Gencer Kazim Kartal
tt0499164,movie,Wir waren niemals hier,2005,97.0,['Documentary'],8.0,[],['Antonia Ganz'],Wir waren niemals hier Documentary Antonia Ganz 
tt1124036,movie,Finding Red Cloud,2008,90.0,['Drama'],8.0,"['Eddie Kehler', 'Michael Wayne James', 'John Billingsley', 'Rob Lanza', ""Chris O'Connor"", 'Jack Kehler', 'Ian Patrick Williams']","[""Michael O'Connor""]",Finding Red Cloud Drama Michael O'Connor Eddie Kehler Michael Wayne James John Billingsley Rob Lanza Chris O'Connor Jack Kehler Ian Patrick Williams
