tconst,titleType,title,year,runtimeMinutes,genres,averageRating,actors,directors,combined_features
tt7989204,movie,P Rell: Crucifix,2013,5.0,['Music'],10.0,"['Alessio Giorgetti', 'Marcus Shamgar Haywood']",['Dylan Verrechia'],P Rell: Crucifix Music Dylan Verrechia Alessio Giorgetti Marcus Shamgar Haywood
tt7889246,movie,Chitram Cheppina Katha,2014,,[],9.9,['Uday Kiran'],"['Mohan Alrk', 'Srinu Babu Patalna']",Chitram Cheppina Katha  Mohan Alrk Srinu Babu Patalna Uday Kiran
tt2906986,movie,Pimpalation: Return of the Trill,2006,60.0,"['Documentary', 'Music']",9.9,['Mike Jones'],['Ariel Santschi'],Pimpalation: Return of the Trill Documentary Music Ariel Santschi Mike Jones
tt4332930,movie,Tujhko Pukare,2005,,"['Action', 'Crime', 'Drama']",9.9,"['Kamal Adib', 'Vinay Anand', 'Mushtaq Khan', 'Kiran Kumar', 'Anurag Sharma', 'Manish Wadhwa']",['Vinod Kumar Singh'],Tujhko Pukare Action Crime Drama Vinod Kumar Singh Kamal Adib Vinay Anand Mushtaq Khan Kiran Kumar Anurag Sharma Manish Wadhwa
tt4211854,movie,You Have His Eyes,2014,90.0,['Documentary'],9.9,[],['Christopher Thomas Wilson'],You Have His Eyes Documentary Christopher Thomas Wilson 
tt0803072,movie,Big Bones - Big Business,2004,59.0,['Documentary'],9.9,['Kova Tilavpur'],['Ekaterina Eremenko'],Big Bones - Big Business Documentary Ekaterina Eremenko Kova Tilavpur
tt1587194,movie,Kot ptic,2006,154.0,['Documentary'],9.9,[],['Nejc Gazvoda'],Kot ptic Documentary Nejc Gazvoda 
tt5342570,movie,The Truth on Trial,2016,,['Drama'],9.9,"['Barrie Brown', ""Marlo d'Angelo Harper"", 'Stuart Elzy', 'Roland Matthews']",['Ms. Michelle'],The Truth on Trial Drama Ms. Michelle Barrie Brown Marlo d'Angelo Harper Stuart Elzy Roland Matthews
tt5390098,movie,The Paternal Bond: Barbary Macaques,2015,59.0,['Documentary'],9.9,[],"['Masahiro Hayakawa', 'Michael J. Sanderson']",The Paternal Bond: Barbary Macaques Documentary Masahiro Hayakawa Michael J. Sanderson 
tt7156934,movie,Independent Roads,2012,58.0,['Adventure'],9.9,['Eiji Leon Lee'],['Lucas Estevan Soares'],Independent Roads Adventure Lucas Estevan Soares Eiji Leon Lee
tt0308447,movie,Juventud en drogas,1996,,"['Crime', 'Drama']",9.9,"['Valentín Trujillo', 'Raúl Araiza', 'Héctor Reynoso', 'Esteban Ortíz', 'Rogelio Guerrero', 'Antonio Gozat']",['Enrique Murillo'],Juventud en drogas Crime Drama Enrique Murillo Valentín Trujillo Raúl Araiza Héctor Reynoso Esteban Ortíz Rogelio Guerrero Antonio Gozat
tt1427969,movie,The Lost Spirits,2009,53.0,['Documentary'],9.9,,,The Lost Spirits Documentary  
tt14231578,movie,Duti Mon,2011,,['Drama'],9.9,"['Ashok Kumar', 'Ranjit Mallick', 'Rohit']",['Subhash Sen'],Duti Mon Drama Subhash Sen Ashok Kumar Ranjit Mallick Rohit
tt1412450,movie,Hearing Everett: The Rancho Sordo Mudo Story,2008,67.0,['Documentary'],9.9,['Tony Plana'],['T.C. Johnstone'],Hearing Everett: The Rancho Sordo Mudo Story Documentary T.C. Johnstone Tony Plana
tt2593350,movie,The Road to Valhalla,2013,,['Documentary'],9.9,"['Buck Taylor', 'Seth Edens', 'Mark Mannette', 'Deb Goodrich', 'Russell W. Dodd', 'Richard Sobek', 'Tom Penning', 'Tom Leahy', 'Orin Friesen', 'Kirk Shapland']",['Ken Spurgeon'],The Road to Valhalla Documentary Ken Spurgeon Buck Taylor Seth Edens Mark Mannette Deb Goodrich Russell W. Dodd Richard Sobek Tom Penning Tom Leahy Orin Friesen Kirk Shapland
tt15127166,movie,Wolf Song: The Movie,2016,95.0,[],9.9,"['Bloodstainedfur', 'Magicofwolf', 'Magicofwolf', 'Magicofwolf', 'Cougar', 'Cody Hart', 'Cody Hart', 'ItsBeastlyTime', 'ItsBeastlyTime', 'Taylor Bryce', 'Gabe Van Helsing', 'Martin Olivares', 'Edward James', 'Edward James']",['Kathryn Johnston'],Wolf Song: The Movie  Kathryn Johnston Bloodstainedfur Magicofwolf Magicofwolf Magicofwolf Cougar Cody Hart Cody Hart ItsBeastlyTime ItsBeastlyTime Taylor Bryce Gabe Van Helsing Martin Olivares Edward James Edward James
tt5750608,movie,The Lost Ones,2016,100.0,['Drama'],9.8,"['Björn Andrésen', 'Norbert Badocha', 'Ruben Bay Mogensen', 'Christian Blendstrup Andersen', 'Vincent Boserup Henriksen', 'Thomas Chaanhing', 'Caspar Samsø Clausen', 'Lior Cohen']",['Dariusz Steiness'],The Lost Ones Drama Dariusz Steiness Björn Andrésen Norbert Badocha Ruben Bay Mogensen Christian Blendstrup Andersen Vincent Boserup Henriksen Thomas Chaanhing Caspar Samsø Clausen Lior Cohen
tt0156768,movie,Manik Raitong,1984,149.0,[],9.8,"['Benjamin Khongnor', 'Diamond Matthew', 'William Rynjhah', 'Gillbert Synnah']",['Ardhendu Bhattacharya'],Manik Raitong  Ardhendu Bhattacharya Benjamin Khongnor Diamond Matthew William Rynjhah Gillbert Synnah
tt10423548,movie,Apoteose,2009,66.0,['Drama'],9.8,"['Ávila Costa', 'Agostinho Palos', 'José Santana']",['António Borges Correia'],Apoteose Drama António Borges Correia Ávila Costa Agostinho Palos José Santana
tt5870798,movie,Somebody's Daughter,2004,76.0,['Drama'],9.8,"['Andrew Adamson', 'Dave Cassidy', 'Cathal Costello', 'Peter Delaney', 'Michael Delohery', 'Michael Flanagan']",['Robert Cunningham'],Somebody's Daughter Drama Robert Cunningham Andrew Adamson Dave Cassidy Cathal Costello Peter Delaney Michael Delohery Michael Flanagan
tt1053817,movie,Buried in Tucson,2007,70.0,"['Adventure', 'Drama']",9.8,"['Christopher Dallton', 'Joe Lorenzo', 'Samuel Hernández', 'Greg Farkas', 'Jeff Gallea', 'Mike Collins', 'Steve Congdon']",['Jeff Gallea'],Buried in Tucson Adventure Drama Jeff Gallea Christopher Dallton Joe Lorenzo Samuel Hernández Greg Farkas Jeff Gallea Mike Collins Steve Congdon
tt4250488,movie,Bringing the Fallen Home,2014,,['Documentary'],9.8,['Craig Melvin'],['Cliff Springs'],Bringing the Fallen Home Documentary Cliff Springs Craig Melvin
tt1199551,movie,Cuando volveras,2008,80.0,['Drama'],9.8,"['Ricky Brava', 'Patricio Godoy', 'Angel Zermen']",['Emilio Vega'],Cuando volveras Drama Emilio Vega Ricky Brava Patricio Godoy Angel Zermen
tt5005448,movie,Silhouette Secrets,2015,65.0,['Documentary'],9.8,['Charles Burns'],['Andi Reiss'],Silhouette Secrets Documentary Andi Reiss Charles Burns
tt4130224,movie,Romeo + Julia,2014,135.0,['Drama'],9.8,"['Sebastian Bischoff', 'Navid Navid', 'Urs Stämpfli']","['Norbert Kentrup', 'Navid Navid']",Romeo + Julia Drama Norbert Kentrup Navid Navid Sebastian Bischoff Navid Navid Urs Stämpfli
tt20768698,movie,Pelas estradas do teatro levando cidadania,2014,69.0,['Documentary'],9.8,"['Danillo Bethon', 'Raphael Bueno', 'Eduardo Chagas', 'Walmir S', 'Régis Santos']",['Uilson França'],Pelas estradas do teatro levando cidadania Documentary Uilson França Danillo Bethon Raphael Bueno Eduardo Chagas Walmir S Régis Santos
tt0332090,movie,Gottzfart,1994,,[],9.8,['Hanspeter Müller'],['Mike Huber'],Gottzfart  Mike Huber Hanspeter Müller
tt2648188,movie,The Influence,2013,109.0,"['Drama', 'Family', 'Music']",9.8,['Raja Majid'],['Dilnawaz Muntazir'],The Influence Drama Family Music Dilnawaz Muntazir Raja Majid
tt11219324,movie,Ending is the Beginning: The Mitch Lucker Memorial Show,2014,84.0,['Music'],9.8,['Aubin A. Sadiki'],['Jerry Clubb'],Ending is the Beginning: The Mitch Lucker Memorial Show Music Jerry Clubb Aubin A. Sadiki
tt2133343,movie,The Last Phone Booth,2011,90.0,['Documentary'],9.8,"['Kevin Lucero Less', 'Paul Jennsen']",['Kirein Doobs'],The Last Phone Booth Documentary Kirein Doobs Kevin Lucero Less Paul Jennsen
tt5190946,movie,Midnight Mayhem,2015,,"['Action', 'Comedy']",9.8,"['Solomon Brende', 'Daniel Ilabaca', 'Oren Michaeli', 'William R. Spencer', 'Alex Van Duong', 'Josh Yadon']","['Mark D. Spencer', 'William R. Spencer']",Midnight Mayhem Action Comedy Mark D. Spencer William R. Spencer Solomon Brende Daniel Ilabaca Oren Michaeli William R. Spencer Alex Van Duong Josh Yadon
tt11554586,movie,Bedhadak,2006,170.0,['Drama'],9.8,"['Uttar Kumar', 'Dev Sharma', 'Dharamveer Singh']",['Dinesh Chaudhary'],Bedhadak Drama Dinesh Chaudhary Uttar Kumar Dev Sharma Dharamveer Singh
tt5206478,movie,Loving Carmen,2016,66.0,"['Biography', 'Documentary', 'History']",9.8,"['Aris Argiris', 'Ben Cross', 'Ladislav Elgr']",['Nayo Titzin'],Loving Carmen Biography Documentary History Nayo Titzin Aris Argiris Ben Cross Ladislav Elgr
tt0128058,movie,Au-delà de 120 ans avec Jeanne Calment,1995,,['Documentary'],9.8,,,Au-delà de 120 ans avec Jeanne Calment Documentary  
tt5997788,movie,Riyasat Mein Riyasat,2016,,['Drama'],9.8,"['Rashid Farooqi', 'Saleem Mairaj', 'Munawar Saeed', 'Tipu']",['Asad Malik'],Riyasat Mein Riyasat Drama Asad Malik Rashid Farooqi Saleem Mairaj Munawar Saeed Tipu
tt4339104,movie,A Lifetime Poem,2015,94.0,"['Biography', 'Documentary', 'Drama']",9.8,[],['Shiwei Kang'],A Lifetime Poem Biography Documentary Drama Shiwei Kang 
tt8387050,movie,O Lar,2008,71.0,['Documentary'],9.8,[],['António Borges Correia'],O Lar Documentary António Borges Correia 
tt0173749,movie,Csonka Bereg,1989,152.0,['Documentary'],9.8,[],['Sándor Sára'],Csonka Bereg Documentary Sándor Sára 
tt2920346,movie,A Place to Call His Own,2013,55.0,['Documentary'],9.8,[],['Mike Krumlauf'],A Place to Call His Own Documentary Mike Krumlauf 
tt3022498,movie,Kamarati,2011,,['Documentary'],9.8,[],['Mladen Medic'],Kamarati Documentary Mladen Medic 
tt3645580,movie,The Inventurers,2012,93.0,"['Adventure', 'Comedy', 'Drama']",9.8,"['Matt Coyde', 'Alex Frow', 'Peter Frow', 'Josephine James', 'Glen Sherrington', 'John Sherrington', 'John Sherrington']",['Peter Frow'],The Inventurers Adventure Comedy Drama Peter Frow Matt Coyde Alex Frow Peter Frow Josephine James Glen Sherrington John Sherrington John Sherrington
tt2385143,movie,McTaggart's Fortune,2014,,['Adventure'],9.8,"['Gary Ambrosia', 'Daniel Bridges', 'Parker Stevenson', 'Willard E. Pugh', 'Alex Rouse', 'Josh Gogarty', 'Josh Gogarty', 'Peter Leake']",['Gary Ambrosia'],McTaggart's Fortune Adventure Gary Ambrosia Gary Ambrosia Daniel Bridges Parker Stevenson Willard E. Pugh Alex Rouse Josh Gogarty Josh Gogarty Peter Leake
tt18560480,movie,Somewhere in Africa,2011,,['Drama'],9.8,"['Kofi Adjorlolo', 'Eddie Coffie', 'David Dontoh', 'Majid Michel', 'Majid Michel', 'Eddie Nartey']",['Frank Rajah Arase'],Somewhere in Africa Drama Frank Rajah Arase Kofi Adjorlolo Eddie Coffie David Dontoh Majid Michel Majid Michel Eddie Nartey
tt8114896,movie,Parto,2010,82.0,"['Adventure', 'Documentary', 'Drama']",9.8,[],['António Borges Correia'],Parto Adventure Documentary Drama António Borges Correia 
tt1344645,movie,My Father's Daughter,2002,87.0,['Drama'],9.8,"['Deva George', 'Jeremy Schwab', 'Nishendu Vasavada', 'Ilram Choi', 'Abhay Dhir', 'Tim Shane', 'Mahir Modgil']",['Parul Bhatia'],My Father's Daughter Drama Parul Bhatia Deva George Jeremy Schwab Nishendu Vasavada Ilram Choi Abhay Dhir Tim Shane Mahir Modgil
tt14722464,movie,Dawat E Shaadi,2016,,['Comedy'],9.8,"['Gullu Dada', 'Aziz Naser']",['Syed Hussain'],Dawat E Shaadi Comedy Syed Hussain Gullu Dada Aziz Naser
tt0759483,movie,Antes de a Vida Começar,2006,65.0,['Biography'],9.7,[],['António Borges Correia'],Antes de a Vida Começar Biography António Borges Correia 
tt5798128,movie,The Last Nomads,2016,61.0,['Documentary'],9.7,[],['Ben Ahmed Hamdi'],The Last Nomads Documentary Ben Ahmed Hamdi 
tt1527819,movie,Franco Cristaldi e il suo cinema Paradiso,2009,102.0,['Documentary'],9.7,"['Francesco Maselli', 'Mario Monicelli', 'Giuliano Montaldo']",['Massimo Spano'],Franco Cristaldi e il suo cinema Paradiso Documentary Massimo Spano Francesco Maselli Mario Monicelli Giuliano Montaldo
tt3069042,movie,The Knight Squad,2014,,['Action'],9.7,"['Yong Ho Nam', 'Yong Ho Nam', 'Johnny Vieira', 'Johnny Vieira', 'Brian Forbes', 'Quinn Knox', 'Miles Meili', 'Jesse Day', 'Kent Kim', 'Scott Lambert']",['David Noble'],The Knight Squad Action David Noble Yong Ho Nam Yong Ho Nam Johnny Vieira Johnny Vieira Brian Forbes Quinn Knox Miles Meili Jesse Day Kent Kim Scott Lambert
tt14278086,movie,Lalka Paag,2015,,['Drama'],9.7,['Roshan Raj'],['Prashant Nagenrda'],Lalka Paag Drama Prashant Nagenrda Roshan Raj
tt6211156,movie,Tales of Rocky Point Park,2016,90.0,['Documentary'],9.7,"['David Air', 'David Cascioli', 'Chuckles the Clown', 'Jackie Dillon', 'Tom Dwyer', 'Felicia Gardella', 'Mike Girard', 'Joshua Martins']",['Jason Mayoh'],Tales of Rocky Point Park Documentary Jason Mayoh David Air David Cascioli Chuckles the Clown Jackie Dillon Tom Dwyer Felicia Gardella Mike Girard Joshua Martins
tt4551842,movie,Cheater Cheater Pussy Eater,2013,,['Adult'],9.7,['Erik Everhard'],[],Cheater Cheater Pussy Eater Adult  Erik Everhard
tt1805423,movie,Swallows and Amazons: Bristol Old Vic Sets Sail,2010,47.0,['Documentary'],9.7,[],"['David Bickerstaff', 'Phil Grabsky']",Swallows and Amazons: Bristol Old Vic Sets Sail Documentary David Bickerstaff Phil Grabsky 
tt0410436,movie,The People's Story,2000,56.0,"['Documentary', 'History']",9.7,[],['Steven Scaffidi'],The People's Story Documentary History Steven Scaffidi 
tt4621790,movie,"R5: All Day, All Night",2015,,['Documentary'],9.7,[],['Michel Sandy Borden'],"R5: All Day, All Night Documentary Michel Sandy Borden "
tt3851884,movie,Uhlanga the Mark,2012,88.0,['Drama'],9.7,"['Sbo Da Poet', 'Linda Sibiya']",['Ndaba Ka Ngwane'],Uhlanga the Mark Drama Ndaba Ka Ngwane Sbo Da Poet Linda Sibiya
tt5195806,movie,"Of the Sea: Fishermen, Seafood & Sustainability",2016,85.0,"['Action', 'Adventure', 'Documentary']",9.7,[],['Mischa Hedges'],"Of the Sea: Fishermen, Seafood & Sustainability Action Adventure Documentary Mischa Hedges "
tt2200872,movie,Latin Comedy: Una Comedia de Derecha para un Publico de Izquierda,2003,,['Comedy'],9.7,"['Leopoldo Fernandez', 'Eddie Fuentes', 'Samuel Alvarez Gonzalez', 'Antonio Morales']",['Janet Alvarez Gonzalez'],Latin Comedy: Una Comedia de Derecha para un Publico de Izquierda Comedy Janet Alvarez Gonzalez Leopoldo Fernandez Eddie Fuentes Samuel Alvarez Gonzalez Antonio Morales
tt1412550,movie,The Martin,2008,47.0,['Drama'],9.7,"['Jerry Foster', 'Danny Dilorenzo']",['Joseph T. Spence'],The Martin Drama Joseph T. Spence Jerry Foster Danny Dilorenzo
tt6991826,movie,A Dedicated Life: Phoebe Brand Beyond the Group,2015,93.0,['Documentary'],9.7,[],['Cristina Duarte'],A Dedicated Life: Phoebe Brand Beyond the Group Documentary Cristina Duarte 
tt5625792,movie,Wrestling Alligators,2016,87.0,['Documentary'],9.7,[],['Andrew Shea'],Wrestling Alligators Documentary Andrew Shea 
tt1519638,movie,God Lives in the Himalayas,2009,99.0,['Drama'],9.7,"['Tulsi Ghimire', 'Bijwol Giri', 'Jiten Thapa', 'Sunil Thapa', 'Sunil Thapa']",['Sanjay Srinivas'],God Lives in the Himalayas Drama Sanjay Srinivas Tulsi Ghimire Bijwol Giri Jiten Thapa Sunil Thapa Sunil Thapa
tt16477464,movie,Fishmans: Otokotachi no Wakare 98.12.28 @ Akasaka Blitz,2005,,['Music'],9.7,"['Fishmans', 'Yuzuru Kashiwabara', ""Kin'ichi Motegi"", 'Shinji Sato']",[],Fishmans: Otokotachi no Wakare 98.12.28 @ Akasaka Blitz Music  Fishmans Yuzuru Kashiwabara Kin'ichi Motegi Shinji Sato
tt1367321,movie,Caution! Heartache Ahead,2009,90.0,['Drama'],9.7,"['Will Dalton', 'Chris Roseboro', 'David Suggs']",['Dornycya Suggs'],Caution! Heartache Ahead Drama Dornycya Suggs Will Dalton Chris Roseboro David Suggs
tt8397926,movie,Férid Boughedir: de l'Émotion Tunisienne au Rêve Universel,2016,52.0,"['Biography', 'Documentary']",9.7,[],['Farah Khadhar'],Férid Boughedir: de l'Émotion Tunisienne au Rêve Universel Biography Documentary Farah Khadhar 
tt1050207,movie,"Susuko ba ako, inay?",1987,,"['Action', 'Drama']",9.7,"['Dan Alvaro', 'Joel Torre', 'Joey Marquez', 'George Estregan', 'Dick Israel', 'Baldo Marro', 'Tom Olivar']","[""Manuel 'Fyke' Cinco""]","Susuko ba ako, inay? Action Drama Manuel 'Fyke' Cinco Dan Alvaro Joel Torre Joey Marquez George Estregan Dick Israel Baldo Marro Tom Olivar"
tt0984201,movie,An Island's Legacy: Preparing for TT,2007,60.0,['Documentary'],9.7,[],['Paul Fielding'],An Island's Legacy: Preparing for TT Documentary Paul Fielding 
tt1486793,movie,Lo spirito del serchio,2009,55.0,"['Biography', 'History']",9.7,[],['Claudio Costa'],Lo spirito del serchio Biography History Claudio Costa 
tt6795280,movie,Hand an Margarethe legen,2016,54.0,['Drama'],9.7,[],['Carsten Frank'],Hand an Margarethe legen Drama Carsten Frank 
tt31613066,movie,The Boy Next Door,2008,,['Comedy'],9.7,['Michael Nuzzolo'],['Emma Kearns'],The Boy Next Door Comedy Emma Kearns Michael Nuzzolo
tt15510976,movie,A Filha Do Governador 2,2016,96.0,['Adventure'],9.7,"['Welle Felipe de Araujo', 'Lisandro Nascimento', 'Erivaldo Nery', 'Edinei Nunes', 'Heitor Nunes', 'Jeremy Rock', 'Paulo Santana']",['Welle Felipe de Araujo'],A Filha Do Governador 2 Adventure Welle Felipe de Araujo Welle Felipe de Araujo Lisandro Nascimento Erivaldo Nery Edinei Nunes Heitor Nunes Jeremy Rock Paulo Santana
tt29313069,movie,Sehrli qalpoqcha 2,2014,,['Family'],9.7,"['Muhammadiso Abdulxairov', 'Radzhab Adashev', ""Fatxulla Ma'sudov"", 'Bunyod Rakhmatullayev', 'Takhir Saidov']",['Sarvar Karimov'],Sehrli qalpoqcha 2 Family Sarvar Karimov Muhammadiso Abdulxairov Radzhab Adashev Fatxulla Ma'sudov Bunyod Rakhmatullayev Takhir Saidov
tt1077269,movie,Tukso,2007,85.0,['Mystery'],9.7,"['Nonie Buencamino', 'Soliman Cruz', 'Ricky Davao', 'Ronnie Lazaro', 'Sid Lucero', 'Ping Medina']",['Dennis Marasigan'],Tukso Mystery Dennis Marasigan Nonie Buencamino Soliman Cruz Ricky Davao Ronnie Lazaro Sid Lucero Ping Medina
tt4669690,movie,Todo mapa tem um discurso,2014,61.0,['Documentary'],9.7,[],"['Francine Albernaz', 'Thaís Inácio', 'Thaís Irs']",Todo mapa tem um discurso Documentary Francine Albernaz Thaís Inácio Thaís Irs 
tt19223198,movie,Dandgi Muley,2012,98.0,['Drama'],9.7,"['Siddhartha Jhadbhuke', 'Shriram Ranade', 'Rugved Soman']",['Yogesh Soman'],Dandgi Muley Drama Yogesh Soman Siddhartha Jhadbhuke Shriram Ranade Rugved Soman
tt2070643,movie,Dealin,2012,105.0,"['Documentary', 'War']",9.7,,,Dealin Documentary War  
tt1920865,movie,Chebriarchatas,2011,60.0,"['Documentary', 'History']",9.7,[],['Ramune Cekuolyte'],Chebriarchatas Documentary History Ramune Cekuolyte 
tt2369365,movie,The Arab Americans,2015,90.0,"['Documentary', 'Drama', 'History']",9.6,[],['Abe Kasbo'],The Arab Americans Documentary Drama History Abe Kasbo 
tt1205482,movie,Fatima,2009,90.0,['Documentary'],9.6,[],['Frederic Lumiere'],Fatima Documentary Frederic Lumiere 
tt5306474,movie,Reflections between the Oceans,2014,111.0,['Documentary'],9.6,"['Iraíde Batella Dos Santos Procópio', 'Michele Bellio', 'Veronica Bergamo', 'Pedro Camaiora', 'Cristian de Zordo', 'Renzo Florio', 'Dante Frasnelli', 'David Martínez de Aguirre Guinea', 'Ernesto Paternoster', 'Marcela Velásquez']","['Michele Bellio', 'Sara Covi']",Reflections between the Oceans Documentary Michele Bellio Sara Covi Iraíde Batella Dos Santos Procópio Michele Bellio Veronica Bergamo Pedro Camaiora Cristian de Zordo Renzo Florio Dante Frasnelli David Martínez de Aguirre Guinea Ernesto Paternoster Marcela Velásquez
tt2317205,movie,The Industry,2012,,['Drama'],9.6,"['Paul Barlow Jr.', 'David Calhoun', 'Jonny Clemson', 'Slade Curtis', 'Ryan Felton', 'Jason Harper']","['Kade Merab', 'Yuade Merab-Moore']",The Industry Drama Kade Merab Yuade Merab-Moore Paul Barlow Jr. David Calhoun Jonny Clemson Slade Curtis Ryan Felton Jason Harper
tt3828992,movie,Jamming Addis,2014,80.0,['Documentary'],9.6,[],['Dirk K. van den Berg'],Jamming Addis Documentary Dirk K. van den Berg 
tt14831490,movie,Emil,2015,,['Drama'],9.6,"['Pedro Barbosa', 'Clisthenis Betti', 'Ranier Caito', 'Luan Carneiro', 'Julian Cristina', 'Rafael Jacon Dutra', 'Felipe Konatu']",['Euler Santi'],Emil Drama Euler Santi Pedro Barbosa Clisthenis Betti Ranier Caito Luan Carneiro Julian Cristina Rafael Jacon Dutra Felipe Konatu
tt3856808,movie,The Killer Monroes,2014,105.0,['Thriller'],9.6,"['Michael Arillo', 'Val Jason Cantrell', 'Graig Couton', 'Charles Cruey', 'Kenneth Cruey']","['Joe Lujan', 'Sharry Flaherty']",The Killer Monroes Thriller Joe Lujan Sharry Flaherty Michael Arillo Val Jason Cantrell Graig Couton Charles Cruey Kenneth Cruey
tt11786202,movie,Bidadari Terakhir,2015,106.0,['Drama'],9.6,"['Maxime Bouttier', 'Julian Jacob', 'Ikang Fawzi', 'Totos Rasiti']",['Awi Suryadi'],Bidadari Terakhir Drama Awi Suryadi Maxime Bouttier Julian Jacob Ikang Fawzi Totos Rasiti
tt2267704,movie,Palestine,2011,,['Documentary'],9.6,[],['Nadir Dendoune'],Palestine Documentary Nadir Dendoune 
tt7327508,movie,Music of Survival: The Story of the Ukrainian Bandurist Chorus,2015,58.0,['Documentary'],9.6,"[""Kostyantyn Cherems'ky"", 'Colm Feore', 'Halyna Kytasty', 'Julian Kytasty', 'Petro Kytasty', 'Mykola Liskiwsky', 'Oleh Mahlay', 'Oleksandr Mikolyuk', 'Victor Mishalow', 'Oleksandr Palianytsia']",['Orest Sushko'],Music of Survival: The Story of the Ukrainian Bandurist Chorus Documentary Orest Sushko Kostyantyn Cherems'ky Colm Feore Halyna Kytasty Julian Kytasty Petro Kytasty Mykola Liskiwsky Oleh Mahlay Oleksandr Mikolyuk Victor Mishalow Oleksandr Palianytsia
tt12246812,movie,Smoke Break the Movie,2016,93.0,['Comedy'],9.6,"['Jazzmine Evans', 'Terance Moore', 'Terance Tmi Moore', 'Kerwin Skinner', 'Kypree Taylor', 'Deymeon Todd', 'Dominique Whittaker']",['Dominique Whittaker'],Smoke Break the Movie Comedy Dominique Whittaker Jazzmine Evans Terance Moore Terance Tmi Moore Kerwin Skinner Kypree Taylor Deymeon Todd Dominique Whittaker
tt2273509,movie,Rising Above the Blues: The Story of Jimmy Scott,2012,89.0,"['Biography', 'Documentary', 'History']",9.6,"['Jimmy Scott', 'David Ritz', 'Arturo Sandoval', 'Phil Ramone', 'Kenny Barron', 'Marco Beacco', 'Oscar Castro-Neves', 'Joey DeFrancesco']",['Yoon-Ha Chang'],Rising Above the Blues: The Story of Jimmy Scott Biography Documentary History Yoon-Ha Chang Jimmy Scott David Ritz Arturo Sandoval Phil Ramone Kenny Barron Marco Beacco Oscar Castro-Neves Joey DeFrancesco
tt3743038,movie,Trails Across the Steppe,2014,,['Documentary'],9.6,[],['Anni Seitz'],Trails Across the Steppe Documentary Anni Seitz 
tt0201351,movie,The Young Riders,1986,,[],9.6,"['Ron Ford', 'Dennis Lehane', 'Kerry Wallum']",[],The Young Riders   Ron Ford Dennis Lehane Kerry Wallum
tt2281343,movie,Madly Gifted,2012,50.0,"['Biography', 'Documentary', 'Drama']",9.6,"['Mario Paoli', 'Tatiana Zwerling']",[],Madly Gifted Biography Documentary Drama  Mario Paoli Tatiana Zwerling
tt12119048,movie,Comfort Zone,2016,50.0,['Documentary'],9.6,[],['Morgan le Faucheur'],Comfort Zone Documentary Morgan le Faucheur 
tt2338095,movie,Machera El Robin Ju de Mérida,2008,90.0,['Documentary'],9.6,"['Sergio Alonso', 'Rodrigo Gómez', 'Daniel Isaac']",['Charles Martinez'],Machera El Robin Ju de Mérida Documentary Charles Martinez Sergio Alonso Rodrigo Gómez Daniel Isaac
tt3835186,movie,Welcome to Tijuana,2004,,['Documentary'],9.6,[],['Dylan Verrechia'],Welcome to Tijuana Documentary Dylan Verrechia 
tt4002864,movie,The Saroj Khan Story,2012,52.0,['Documentary'],9.6,[],['Nidhi Tuli'],The Saroj Khan Story Documentary Nidhi Tuli 
tt0366221,movie,Ispred prve linije,2004,,[],9.6,"['Dragan Marjanovic', 'Sasa Terzic']",['Dragan Elcic'],Ispred prve linije  Dragan Elcic Dragan Marjanovic Sasa Terzic
tt8120954,movie,Tsunami After the Wave of Interest,2009,57.0,"['Documentary', 'Drama']",9.6,[],['Jan Hosek'],Tsunami After the Wave of Interest Documentary Drama Jan Hosek 
tt1786756,movie,Vivian Bullwinkel: An Australian Heroine,2007,54.0,['Documentary'],9.6,[],"['Eleanor Sharpe', 'Nickolas Bird']",Vivian Bullwinkel: An Australian Heroine Documentary Eleanor Sharpe Nickolas Bird 
tt4627202,movie,Running on Climate,2015,80.0,"['Documentary', 'History']",9.6,[],['Robert Alstead'],Running on Climate Documentary History Robert Alstead 
tt0997212,movie,Cafe Coexistence,2009,68.0,"['Comedy', 'Drama']",9.6,"['Timothy McGrath', 'Mark E. Fletcher', 'Taylor Van Doorne', 'Abram Teunisen', 'Gary Robert Bley']",['Randall Gifford'],Cafe Coexistence Comedy Drama Randall Gifford Timothy McGrath Mark E. Fletcher Taylor Van Doorne Abram Teunisen Gary Robert Bley
tt1764548,movie,Postar,2007,52.0,['Documentary'],9.6,['Aleks Madalu'],['Damjan Kozole'],Postar Documentary Damjan Kozole Aleks Madalu
tt7979158,movie,The Calling: Things Will Go My Way,2004,,['Music'],9.6,[],"[""Craig D'Entrone"", 'Dylan Verrechia']",The Calling: Things Will Go My Way Music Craig D'Entrone Dylan Verrechia 
tt1849184,movie,Tulak,2009,,['Drama'],9.6,"['Rafael Rosell', 'John Regala', 'Fanny Serrano', ""Ritchie D'Horsie"", 'Mon Confiado', 'Julio Diaz']","[""Neal 'Buboy' Tan""]",Tulak Drama Neal 'Buboy' Tan Rafael Rosell John Regala Fanny Serrano Ritchie D'Horsie Mon Confiado Julio Diaz
tt1867612,movie,Swor-The Melody of Dreams,2011,,['Musical'],9.6,"['Raj Ballav Koirala', 'Sraj Garach']",['Prasanna Poudyal'],Swor-The Melody of Dreams Musical Prasanna Poudyal Raj Ballav Koirala Sraj Garach
